NACA 0012
    1.000000      0.1260000E-02
   0.9817921      0.3786310E-02
   0.9542853      0.7498265E-02
   0.9225621      0.1163056E-01
   0.8894123      0.1578742E-01
   0.8558844      0.1983189E-01
   0.8222473      0.2373401E-01
   0.7885682      0.2748870E-01
   0.7548692      0.3109456E-01
   0.7211629      0.3454917E-01
   0.6874598      0.3784804E-01
   0.6537704      0.4098434E-01
   0.6201054      0.4394875E-01
   0.5864761      0.4672933E-01
   0.5528945      0.4931138E-01
   0.5193735      0.5167730E-01
   0.4859275      0.5380640E-01
   0.4525726      0.5567466E-01
   0.4193274      0.5725444E-01
   0.3862139      0.5851409E-01
   0.3532589      0.5941752E-01
   0.3204958      0.5992350E-01
   0.2879678      0.5998493E-01
   0.2557333      0.5954787E-01
   0.2238746      0.5855045E-01
   0.1925165      0.5692244E-01
   0.1618656      0.5458755E-01
   0.1322979      0.5147670E-01
   0.1045235      0.4757361E-01
   0.7972182E-01  0.4301415E-01
   0.5916331E-01  0.3815331E-01
   0.4324958E-01  0.3339626E-01
   0.3129899E-01  0.2894798E-01
   0.2229042E-01  0.2480817E-01
   0.1539449E-01  0.2088944E-01
   0.1006489E-01  0.1708960E-01
   0.5981531E-02  0.1331770E-01
   0.2988242E-02  0.9510196E-02
   0.1037327E-02  0.5658783E-02
   0.1078297E-03  0.1841642E-02
   0.1078297E-03 -0.1841642E-02
   0.1037327E-02 -0.5658783E-02
   0.2988242E-02 -0.9510196E-02
   0.5981531E-02 -0.1331770E-01
   0.1006489E-01 -0.1708960E-01
   0.1539449E-01 -0.2088944E-01
   0.2229042E-01 -0.2480817E-01
   0.3129899E-01 -0.2894798E-01
   0.4324958E-01 -0.3339626E-01
   0.5916331E-01 -0.3815331E-01
   0.7972182E-01 -0.4301415E-01
   0.1045235     -0.4757361E-01
   0.1322979     -0.5147670E-01
   0.1618656     -0.5458755E-01
   0.1925165     -0.5692244E-01
   0.2238746     -0.5855045E-01
   0.2557333     -0.5954787E-01
   0.2879678     -0.5998493E-01
   0.3204958     -0.5992350E-01
   0.3532589     -0.5941752E-01
   0.3862139     -0.5851409E-01
   0.4193274     -0.5725444E-01
   0.4525726     -0.5567466E-01
   0.4859275     -0.5380640E-01
   0.5193735     -0.5167730E-01
   0.5528945     -0.4931138E-01
   0.5864761     -0.4672933E-01
   0.6201054     -0.4394875E-01
   0.6537704     -0.4098434E-01
   0.6874598     -0.3784804E-01
   0.7211629     -0.3454917E-01
   0.7548692     -0.3109456E-01
   0.7885682     -0.2748870E-01
   0.8222473     -0.2373401E-01
   0.8558844     -0.1983189E-01
   0.8894123     -0.1578742E-01
   0.9225621     -0.1163056E-01
   0.9542853     -0.7498265E-02
   0.9817921     -0.3786310E-02
    1.000000     -0.1260000E-02
